"Centroid Data for pc board: ""CRB-CAM_SARA-R422_v9.brd"" as of: 9/2/2022 11:02",,,,
Measurements are in inches. Comma delimited,,,,
Only surface mount components included,,,,
,,,,
RefDes,Layer,LocationX,LocationY,Rotation
ANT1,Top,1.805,2.145,0
C1,Top,0.58,1.37,0
C2,Top,0.58,1.51,0
C3,Top,0.34,1.5,270
C4,Top,0.34,1.67,90
C5,Top,0.12,1.55,270
C6,Top,1.01,1.43,270
C7,Top,1.625,0.05,0
C8,Top,0.675,0.25,270
C9,Top,0.93,1.43,270
C10,Top,0.62,2.18,270
C11,Top,2.26,0.685,0
C12,Top,2.53,0.81,180
C13,Top,0.49,1.09,270
C14,Top,0.77,1.09,270
C15,Top,0.855,1.09,270
C16,Top,1.63,0.135,0
C17,Top,0.077,0.559,270
C18,Top,0.086,0.779,180
C19,Top,1.25,1.43,270
C20,Top,0.85,1.43,270
C21,Top,2.12,0.655,90
C22,Top,1.97,0.645,180
C23,Top,1.91,0.585,180
C24,Top,2.26,0.615,0
C25,Top,2.76,2.03,90
C26,Top,2.67,0.81,0
C27,Top,2.55,0.57,270
C28,Top,0.595,0.238,270
C29,Top,2.67,0.74,0
C30,Top,2.53,0.74,180
D1,Top,0.48,0.655,270
FB1,Top,0.46,1.48,90
FB2,Top,0.22,1.59,180
FB3,Top,2.61,0.88,0
J1,Top,0.2,1.106,90
J2,Top,0.38,0.085,0
J3,Top,0.95,1.71,180
J4,Top,2.76,2.2,270
J5,Bottom,0.825,0.53,90
J6,Top,2.15,0.285,0
L1,Top,0.63,1.265,0
L2,Top,2.66,2.1,0
LED1,Top,0.196,0.793,180
LED2,Top,2.41,0.7,180
LED3,Top,1.915,1.67,180
LED4,Bottom,1.39,2.27,270
Q1,Top,2.485,1.765,0
Q2,Top,2.355,1.765,0
Q3,Top,2.075,1.665,0
Q4,Top,2.505,0.125,180
Q5,Top,2.71,0.59,90
Q6,Top,0.445,0.88,180
Q7,Top,1.38,1.33,90
R1,Top,1.645,0.32,180
R2,Top,1.645,0.4,0
R3,Top,1.17,1.43,90
R4,Top,1.09,1.43,90
R5,Top,0.06,2.197,90
R6,Top,2.485,1.655,180
R7,Top,2.455,1.885,180
R8,Top,2.355,1.655,180
R9,Top,2.325,1.885,180
R10,Top,2.505,0.23,0
R11,Top,2.62,0.22,90
R12,Top,2.71,0.46,0
R13,Top,0.34,0.66,0
R14,Top,0.31,0.79,270
R15,Top,0.55,1.655,90
R16,Top,0.835,0.902,90
R17,Top,0.933,0.902,270
R18,Top,0.665,0.618,270
R19,Top,0.583,0.614,90
R20,Top,0.528,0.358,180
R21,Top,0.528,0.461,90
R22,Top,1.645,0.235,180
R23,Top,0.15,0.42,180
R24,Top,2.41,0.84,90
R25,Top,1.98,1.675,270
R26,Top,0.37,0.56,90
R27,Top,0.104,0.878,0
R28,Top,0.213,0.556,0
R29,Top,1.39,1.52,270
S1,Top,0.64,0.82,90
S2,Top,1.595,0.89,270
SJ1,Top,0.51,2.07,0
TVS1,Top,2.11,0.795,90
TVS2,Top,0.38,0.355,90
TVS3,Top,0.65,0.46,180
TVS4,Top,0.19,0.3,180
U1,Top,0.2,0.67,90
U2,Top,1.135,0.385,180
U3,Top,0.63,1.15,270
U4,Top,0.45,1.6,180
U5,Top,0.27,2.215,180
U6,Top,0.51,2.23,180
U7,Top,2.325,1.26,270
